Zone;Année_x;Valeur_x;Année_y;Valeur_y;Taux de sous-nutrition;id
Micronésie (États fédérés de);2017;;2017;111.459;;FSM
Mongolie;2017;0.6;2017;3113.786;19.27;MNG
Monténégro;2017;;2017;627.563;;MNE
Mozambique;2017;9.4;2017;28649.018;32.81;MOZ
Myanmar;2017;7.3;2017;53382.523;13.67;MMR
Namibie;2017;0.3;2017;2402.633;12.49;NAM
Nauru;2017;;2017;10.573;;NRU
Népal;2017;1.7;2017;27632.681;6.15;NPL
Nicaragua;2017;1.1;2017;6384.846;17.23;NIC
Niger;2017;;2017;21602.382;;NER
Nigéria;2017;22.8;2017;190873.244;11.95;NGA
Nioué;2017;;2017;1.609;;NIU
Norvège;2017;;2017;5296.326;;NOR
Nouvelle-Calédonie;2017;0.0;2017;277.15;0.0;NCL
Nouvelle-Zélande;2017;;2017;4702.0340000000015;;NZL
Oman;2017;0.4;2017;4665.928;8.57;OMN
Ouganda;2017;;2017;41166.588;;UGA
Ouzbékistan;2017;0.9;2017;31959.785;2.82;UZB
Pakistan;2017;24.8;2017;207906.209;11.93;PAK
Palaos;2017;;2017;17.808;;PLW
Palestine;2017;;2017;4747.227;;PSE
Panama;2017;0.3;2017;4106.769;7.31;PAN
Papouasie-Nouvelle-Guinée;2017;;2017;8438.036;;PNG
Paraguay;2017;0.6;2017;6867.061;8.74;PRY
Pays-Bas;2017;;2017;17021.346999999998;;NLD
Pérou;2017;2.2;2017;31444.298;7.0;PER
Philippines;2017;15.7;2017;105172.925;14.93;PHL
Pologne;2017;;2017;37953.18;;POL
Polynésie française;2017;0.0;2017;276.10200000000003;0.0;PYF
Porto Rico;2017;;2017;3163.667;;PRI
Portugal;2017;;2017;10288.527;;PRT
Qatar;2017;;2017;2724.728;;QAT
République arabe syrienne;2017;;2017;17095.678;;SYR
République centrafricaine;2017;;2017;4596.023;;CAF
République de Corée;2017;;2017;51096.415;;KOR
République de Moldova;2017;;2017;4059.684;;MDA
République démocratique du Congo;2017;;2017;81398.76400000001;;COD
République démocratique populaire lao;2017;;2017;6953.035;;LAO
République dominicaine;2017;0.6;2017;10513.104;5.71;DOM
République populaire démocratique de Corée;2017;12.0;2017;25429.825;47.19;PRK
République-Unie de Tanzanie;2017;13.4;2017;54660.33900000001;24.52;TZA
Roumanie;2017;;2017;19653.969;;ROU
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;2017;;2017;66727.461;;GBR
